industry,Year,expected_return
BusEq,2019,0.022656
Chems,2019,-0.033124
Durbl,2019,-0.142234
Enrgy,2019,-0.080119
Hlth,2019,0.023745
Manuf,2019,-0.091134
Money,2019,-0.040745
NoDur,2019,-0.052039
Other,2019,-0.073524
Shops,2019,0.003635
Telcm,2019,-0.025316
Utils,2019,0.060147
BusEq,2020,0.128042
Chems,2020,-0.102143
Durbl,2020,0.092131
Enrgy,2020,0.028293
Hlth,2020,0.068571
Manuf,2020,0.095801
Money,2020,0.11053
NoDur,2020,0.081084
Other,2020,0.085355
Shops,2020,0.08718
Telcm,2020,0.112195
Utils,2020,0.108438
BusEq,2021,0.087911
Chems,2021,0.130421
Durbl,2021,0.325196
Enrgy,2021,0.07476
Hlth,2021,0.020712
Manuf,2021,0.157767
Money,2021,0.143386
NoDur,2021,0.08938
Other,2021,0.115058
Shops,2021,0.076538
Telcm,2021,0.102979
Utils,2021,0.063482
