Risky,industries,N,mean,Std.Dev,Min,Pctl25,median,Pctl75,Max
safe,Che,253,-0.05,0.81,-3.08,-0.52,-0.01,0.45,2.62
safe,Hlt,253,0.03,0.83,-2.89,-0.53,0.05,0.59,2.55
safe,NoD,253,-0.04,0.72,-2.67,-0.45,0.01,0.41,2.33
safe,Oth,253,-0.03,0.98,-3.2,-0.62,-0.04,0.57,2.55
safe,Sho,253,-0,0.88,-2.94,-0.53,0.05,0.57,2.19
safe,Tel,253,-0.13,0.95,-3.22,-0.58,-0.15,0.47,3.59
Risky,Bus,253,0.02,1.22,-3.61,-0.66,0.04,0.8,3.5
Risky,Dur,253,-0.16,2.46,-8.91,-1.56,-0.14,1.22,11.26
Risky,Enr,253,0.13,1.95,-5.08,-1.14,0.13,1.39,4.76
Risky,Man,253,-0.07,1.09,-3.38,-0.77,-0.02,0.6,2.92
Risky,Mon,253,-0.03,1.14,-3.68,-0.7,0.02,0.67,4.04
Risky,Uti,253,0.01,0.88,-3.12,-0.54,0.07,0.57,2.59
